cohort,feature_set,fold,test_cycle,n_train,n_test,test_prevalence,inner_best_auc,best_C,threshold,threshold_strategy,roc_auc,pr_auc,brier,balanced_accuracy,sensitivity,specificity,ppv,npv,f1
all_cycles,expanded_minus_bmi,5,2017-2018,1142,234,0.5641025641025641,0.7458794438118396,0.01,0.4899999999999998,youden,0.7499257278669043,0.7641989996994902,0.20294142262571774,0.6980837789661319,0.7196969696969697,0.6764705882352942,0.7421875,0.6509433962264151,0.7307692307692308
all_cycles,expanded_minus_bmi,6,2021-2023,1111,265,0.44528301886792454,0.7475769715577228,0.1,0.4699999999999998,youden,0.7569468465352243,0.7139142975071668,0.20377822641317064,0.7222702640378185,0.8050847457627118,0.6394557823129252,0.6418918918918919,0.8034188034188035,0.7142857142857143
all_cycles,expanded_minus_waist,1,2009-2010,1154,222,0.527027027027027,0.7529244877395391,0.1,0.44999999999999984,youden,0.7004477004477003,0.7188923782282658,0.2207538741755855,0.6313797313797314,0.7008547008547008,0.5619047619047619,0.640625,0.6276595744680851,0.6693877551020407
all_cycles,expanded_minus_waist,2,2011-2012,1186,190,0.5894736842105263,0.7537019065174532,3.0,0.4699999999999998,youden,0.7028388278388279,0.7766337804964742,0.22696671127689083,0.6561355311355311,0.6071428571428571,0.7051282051282052,0.7472527472527473,0.5555555555555556,0.6699507389162561
all_cycles,expanded_minus_waist,3,2013-2014,1140,236,0.559322033898305,0.7416623879055283,0.01,0.4899999999999998,youden,0.7523310023310024,0.7926073832111443,0.20141040481477224,0.6716200466200466,0.6893939393939394,0.6538461538461539,0.7165354330708661,0.6238532110091743,0.7027027027027026
all_cycles,expanded_minus_waist,4,2015-2016,1147,229,0.537117903930131,0.7367082670097908,0.1,0.5099999999999998,gmean,0.8018867924528302,0.818774017282718,0.1836828797584701,0.7371912870072097,0.7479674796747967,0.7264150943396226,0.7603305785123967,0.7129629629629629,0.7540983606557377
all_cycles,expanded_minus_waist,5,2017-2018,1142,234,0.5641025641025641,0.7441599427809793,0.01,0.4899999999999998,youden,0.7488116458704693,0.7697543285626617,0.20294804406956038,0.6773618538324421,0.7272727272727273,0.6274509803921569,0.7164179104477612,0.64,0.7218045112781953
all_cycles,expanded_minus_waist,6,2021-2023,1111,265,0.44528301886792454,0.7458947803700542,0.1,0.46,guardrail_shift_floor,0.7525077827741267,0.7072961732788773,0.2059130344073263,0.7154675429493831,0.8050847457627118,0.6258503401360545,0.6333333333333333,0.8,0.708955223880597
crp_assayed_cycles,expanded_all_15,1,2015-2016,499,229,0.537117903930131,0.7496610226011309,3.0,0.4999999999999998,youden,0.7940635066728027,0.7961555316775761,0.18485523468585424,0.7487344684767603,0.7804878048780488,0.7169811320754716,0.7619047619047619,0.7378640776699029,0.7710843373493976
crp_assayed_cycles,expanded_all_15,2,2017-2018,494,234,0.5641025641025641,0.7655041838429975,0.01,0.44999999999999984,youden,0.7477718360071302,0.7635737983901971,0.20607257629011755,0.7043226381461676,0.8106060606060606,0.5980392156862745,0.722972972972973,0.7093023255813954,0.7642857142857143
crp_assayed_cycles,expanded_all_15,3,2021-2023,463,265,0.44528301886792454,0.7710431615087012,0.1,0.4799999999999998,youden,0.7541219877781621,0.7030982929216136,0.20283701046056413,0.7164187708981897,0.7457627118644068,0.6870748299319728,0.6567164179104478,0.7709923664122137,0.6984126984126985
crp_assayed_cycles,expanded_minus_crp,1,2015-2016,499,229,0.537117903930131,0.7502546730042814,3.0,0.4699999999999998,youden,0.794140205552999,0.7963029159209531,0.1847779706615198,0.7555606688142353,0.8130081300813008,0.6981132075471698,0.7575757575757576,0.7628865979381443,0.7843137254901961
crp_assayed_cycles,expanded_minus_crp,2,2017-2018,494,234,0.5641025641025641,0.7649961167709809,0.01,0.4999999999999998,youden,0.7492572786690433,0.762380474824619,0.20612499086236852,0.6813725490196079,0.6666666666666666,0.696078431372549,0.7394957983193278,0.6173913043478261,0.701195219123506
crp_assayed_cycles,expanded_minus_crp,3,2021-2023,463,265,0.44528301886792454,0.7710887911901014,0.1,0.4799999999999998,youden,0.7541219877781621,0.7037391653234765,0.2029006854226094,0.7172546984895654,0.7542372881355932,0.6802721088435374,0.6544117647058824,0.7751937984496124,0.7007874015748031
