specification,k,centroid_id,n,share_percent,z_bmi,z_triglycerides,z_ldl,z_hdl,z_age,z_waist_circumference
core6_operational_positive_weighted,8,K08-C06,76,10.354223433242508,-0.09858117417187727,1.513584007032643,-0.4074184250798008,-0.7509857646304573,0.2310452918080092,0.11164124788051931
core6_operational_positive_weighted,8,K08-C05,113,15.39509536784741,0.0999263471119895,-0.10712289775734085,0.07869080518839376,-0.37239837389245695,-1.300205896821663,0.10896162690069798
core6_operational_positive_weighted,8,K08-C03,129,17.574931880108995,-0.4327349868186581,-0.45872136404828046,-0.961700387858286,0.021674904805169797,0.37474373033604547,-0.4661855691012608
core6_operational_positive_weighted,8,K08-C07,11,1.4986376021798364,-0.43343385281191715,4.886056197179099,-0.04603458941989302,-0.7787538437438069,-0.7266312398909182,-0.1577685062000811
core6_operational_positive_weighted,8,K08-C08,101,13.760217983651227,1.6628955988136613,-0.24808312152169537,-0.49405853843815206,-0.3296105007462125,-0.15735081338306567,1.5968102733934124
core6_operational_positive_weighted,9,K09-C08,72,9.809264305177113,0.048137849068798935,1.411334178796818,-0.5181997794636415,-0.8396776990928676,0.24860450511733245,0.2442814153900773
core6_operational_positive_weighted,9,K09-C01,64,8.71934604904632,-1.0719300177845217,-0.6978862719736427,-0.021028118648783328,1.9018515155571987,0.13553312766026016,-1.2152747709303129
core6_operational_positive_weighted,9,K09-C04,101,13.760217983651227,-0.38631147518296255,-0.5020010010412879,-1.1764452719685297,0.07730137402012514,0.2717270335345601,-0.4498092022005156
core6_operational_positive_weighted,9,K09-C09,94,12.806539509536785,1.7325684121313902,-0.2794268251493753,-0.4851324262133523,-0.31508743151030705,-0.18513001745402438,1.6428826142896196
core6_operational_positive_weighted,9,K09-C05,102,13.896457765667575,0.5344156600730365,-0.38490574560929014,0.2406936219265184,0.4291386809811414,0.5850620326702046,0.5353908617937715
core6_operational_positive_weighted,9,K09-C03,47,6.4032697547683926,-0.40400150487806086,0.4031022373688859,2.105242742312415,-0.32553281294447306,-0.15615096043727775,-0.30891638630613155
core6_operational_positive_weighted,9,K09-C07,105,14.305177111716622,0.12124624996359984,-0.11354865761626415,0.01985035476844391,-0.37702072714309015,-1.3126035111003829,0.13620142441920544
core6_operational_positive_weighted,9,K09-C02,135,18.392370572207085,-0.7393397251044381,-0.07414060726899575,0.5692739730952304,-0.15185209498145638,0.4148437926334339,-0.7420841557716666
core6_operational_positive_weighted,9,K09-C06,14,1.9073569482288828,-0.5106211212054963,4.447361080641834,0.04615516457498141,-0.5597012110145012,-0.5095449154856556,-0.2158213693521931
