specification,k,centroid_id,n,share_percent,cycle_counts,centroid_bmi,member_median_bmi,member_q1_bmi,member_q3_bmi,missing_percent_bmi,centroid_triglycerides,member_median_triglycerides,member_q1_triglycerides,member_q3_triglycerides,missing_percent_triglycerides,centroid_ldl,member_median_ldl,member_q1_ldl,member_q3_ldl,missing_percent_ldl,centroid_hdl,member_median_hdl,member_q1_hdl,member_q3_hdl,missing_percent_hdl,centroid_age,member_median_age,member_q1_age,member_q3_age,missing_percent_age,centroid_waist_circumference,member_median_waist_circumference,member_q1_waist_circumference,member_q3_waist_circumference,missing_percent_waist_circumference
core6_operational_positive_weighted,8,K08-C06,76,10.354223433242508,"{""2009-2010"": 13, ""2011-2012"": 11, ""2013-2014"": 14, ""2015-2016"": 17, ""2017-2018"": 5, ""2021-2023"": 16}",32.3175,31.41,28.25,35.9,2.631578947368421,282.38157894736844,279.5,239.0,323.0,0.0,108.0,106.5,82.75,129.0,2.631578947368421,43.48684210526316,41.0,37.0,47.0,0.0,55.776315789473685,56.0,53.75,59.0,0.0,107.91184210526316,106.3,100.6,115.2,1.3157894736842104
core6_operational_positive_weighted,8,K08-C05,113,15.39509536784741,"{""2009-2010"": 17, ""2011-2012"": 23, ""2013-2014"": 20, ""2015-2016"": 20, ""2017-2018"": 18, ""2021-2023"": 15}",33.94088495575221,34.0,30.4,37.349999999999994,1.7699115044247788,133.23893805309734,126.0,95.0,172.0,3.5398230088495577,126.83185840707965,126.0,110.0,142.0,3.5398230088495577,48.88495575221239,48.0,41.0,55.0,3.5398230088495577,49.5929203539823,49.0,48.0,52.0,0.0,107.86814159292035,107.2,100.25,114.2,1.7699115044247788
core6_operational_positive_weighted,8,K08-C03,129,17.574931880108995,"{""2009-2010"": 24, ""2011-2012"": 17, ""2013-2014"": 26, ""2015-2016"": 19, ""2017-2018"": 19, ""2021-2023"": 24}",29.58480620155039,28.9,26.53,33.0,0.0,100.88372093023256,95.5,74.0,127.0,5.426356589147287,86.52713178294573,84.5,69.25,102.0,5.426356589147287,54.50387596899225,54.0,47.25,59.0,5.426356589147287,56.35658914728682,57.0,54.0,60.0,0.0,98.48837209302326,98.7,91.35,103.8,4.651162790697675
core6_operational_positive_weighted,8,K08-C07,11,1.4986376021798364,"{""2009-2010"": 3, ""2011-2012"": 1, ""2013-2014"": 1, ""2015-2016"": 2, ""2017-2018"": 2, ""2021-2023"": 2}",29.579090909090908,28.72,27.4,32.27,0.0,592.7272727272726,524.0,491.0,705.5,0.0,122.0,,,,100.0,43.09090909090909,41.0,36.5,46.0,0.0,51.90909090909091,51.0,48.0,55.0,0.0,103.51818181818182,102.19999999999999,96.4,110.15,9.090909090909092
core6_operational_positive_weighted,8,K08-C08,101,13.760217983651227,"{""2009-2010"": 13, ""2011-2012"": 10, ""2013-2014"": 25, ""2015-2016"": 15, ""2017-2018"": 21, ""2021-2023"": 17}",46.72277227722772,44.6,41.37,50.3,0.0,120.26732673267327,109.0,83.0,140.75,2.9702970297029703,104.64356435643565,101.5,85.5,119.0,2.9702970297029703,49.495049504950494,47.0,43.0,54.0,2.9702970297029703,54.20792079207921,55.0,51.0,57.0,0.0,132.13267326732674,131.55,124.9,139.2,2.9702970297029703
core6_operational_positive_weighted,9,K09-C08,72,9.809264305177113,"{""2009-2010"": 13, ""2011-2012"": 8, ""2013-2014"": 16, ""2015-2016"": 14, ""2017-2018"": 4, ""2021-2023"": 17}",33.517361111111114,33.75,30.025,36.875,2.7777777777777777,272.9722222222222,270.0,220.75,318.25,0.0,103.70833333333334,101.5,81.75,120.0,0.0,42.22222222222222,41.0,37.0,46.25,0.0,55.84722222222222,56.5,54.0,58.25,0.0,110.075,108.7,103.25,117.05,1.3888888888888888
core6_operational_positive_weighted,9,K09-C01,64,8.71934604904632,"{""2009-2010"": 10, ""2011-2012"": 12, ""2013-2014"": 12, ""2015-2016"": 13, ""2017-2018"": 7, ""2021-2023"": 10}",24.3575,23.4,21.65,27.3,0.0,78.87500000000001,71.5,59.75,87.25,0.0,122.96875,122.0,106.5,140.0,0.0,81.3125,79.0,71.75,87.25,0.0,55.390625,55.0,53.0,58.0,0.0,86.271875,85.25,80.15,90.275,0.0
core6_operational_positive_weighted,9,K09-C04,101,13.760217983651227,"{""2009-2010"": 17, ""2011-2012"": 15, ""2013-2014"": 21, ""2015-2016"": 17, ""2017-2018"": 16, ""2021-2023"": 15}",29.964455445544555,29.4,26.53,33.7,0.0,96.9009900990099,92.0,73.0,120.0,0.0,78.20792079207921,80.0,67.0,94.0,0.0,55.2970297029703,55.0,48.0,61.0,0.0,55.94059405940594,56.0,53.0,59.0,0.0,98.75544554455445,97.3,91.75,105.25,5.9405940594059405
core6_operational_positive_weighted,9,K09-C09,94,12.806539509536785,"{""2009-2010"": 13, ""2011-2012"": 9, ""2013-2014"": 24, ""2015-2016"": 14, ""2017-2018"": 19, ""2021-2023"": 15}",47.29255319148936,45.4,41.712500000000006,50.925,0.0,117.38297872340425,108.0,79.5,139.5,3.1914893617021276,104.98936170212767,102.0,84.5,120.5,3.1914893617021276,49.702127659574465,47.0,43.0,54.0,3.1914893617021276,54.09574468085106,54.0,51.0,57.75,0.0,132.88404255319148,132.5,126.7,140.14999999999998,3.1914893617021276
core6_operational_positive_weighted,9,K09-C05,102,13.896457765667575,"{""2009-2010"": 13, ""2011-2012"": 15, ""2013-2014"": 11, ""2015-2016"": 17, ""2017-2018"": 28, ""2021-2023"": 18}",37.49411764705882,37.2,34.7,40.3,0.9803921568627451,107.6764705882353,102.0,75.75,132.25,1.9607843137254901,133.1078431372549,131.0,116.75,150.0,1.9607843137254901,60.31372549019608,59.0,51.0,69.0,0.9803921568627451,57.205882352941174,58.0,56.0,59.0,0.0,114.82254901960785,115.15,110.925,120.025,1.9607843137254901
